league,league_id,league_tier,league_start_date_time,league_end_date_time,league_region,series_id,series_type,match_id,match_start_date_time,match_duration_seconds,first_blood_time_seconds,radiant_team_id,radiant_team_name,dire_team_id,dire_team_name,winner_id,radiant_kills,dire_kills,radiant_player_1_id,radiant_player_1_name,radiant_player_1_hero_id,radiant_player_1_hero,radiant_player_1_position,radiant_player_1_lane,radiant_player_1_role,radiant_player_1_kills,radiant_player_1_deaths,radiant_player_1_assists,radiant_player_1_networth,radiant_player_2_id,radiant_player_2_name,radiant_player_2_hero_id,radiant_player_2_hero,radiant_player_2_position,radiant_player_2_lane,radiant_player_2_role,radiant_player_2_kills,radiant_player_2_deaths,radiant_player_2_assists,radiant_player_2_networth,radiant_player_3_id,radiant_player_3_name,radiant_player_3_hero_id,radiant_player_3_hero,radiant_player_3_position,radiant_player_3_lane,radiant_player_3_role,radiant_player_3_kills,radiant_player_3_deaths,radiant_player_3_assists,radiant_player_3_networth,radiant_player_4_id,radiant_player_4_name,radiant_player_4_hero_id,radiant_player_4_hero,radiant_player_4_position,radiant_player_4_lane,radiant_player_4_role,radiant_player_4_kills,radiant_player_4_deaths,radiant_player_4_assists,radiant_player_4_networth,radiant_player_5_id,radiant_player_5_name,radiant_player_5_hero_id,radiant_player_5_hero,radiant_player_5_position,radiant_player_5_lane,radiant_player_5_role,radiant_player_5_kills,radiant_player_5_deaths,radiant_player_5_assists,radiant_player_5_networth,dire_player_1_id,dire_player_1_name,dire_player_1_hero_id,dire_player_1_hero,dire_player_1_position,dire_player_1_lane,dire_player_1_role,dire_player_1_kills,dire_player_1_deaths,dire_player_1_assists,dire_player_1_networth,dire_player_2_id,dire_player_2_name,dire_player_2_hero_id,dire_player_2_hero,dire_player_2_position,dire_player_2_lane,dire_player_2_role,dire_player_2_kills,dire_player_2_deaths,dire_player_2_assists,dire_player_2_networth,dire_player_3_id,dire_player_3_name,dire_player_3_hero_id,dire_player_3_hero,dire_player_3_position,dire_player_3_lane,dire_player_3_role,dire_player_3_kills,dire_player_3_deaths,dire_player_3_assists,dire_player_3_networth,dire_player_4_id,dire_player_4_name,dire_player_4_hero_id,dire_player_4_hero,dire_player_4_position,dire_player_4_lane,dire_player_4_role,dire_player_4_kills,dire_player_4_deaths,dire_player_4_assists,dire_player_4_networth,dire_player_5_id,dire_player_5_name,dire_player_5_hero_id,dire_player_5_hero,dire_player_5_position,dire_player_5_lane,dire_player_5_role,dire_player_5_kills,dire_player_5_deaths,dire_player_5_assists,dire_player_5_networth,game_version_id
Ultras Dota Pro League  2023,14915,PROFESSIONAL,2023-01-31 22:00:00,2023-11-30 22:00:00,CIS,825484,BEST_OF_THREE,7436642750,2023-11-13 10:35:57,1336,81,9175367,Business Club,9238007,Prodigy of God,9175367,,,412320425,yowaii,99,Bristleback,,,,13,1,14,15053,1582556245,=),3,Bane,,,,2,7,16,5258,1291449666,помогите!!!,98,Timbersaw,,,,12,2,6,14895,184455528,ariamis,74,Invoker,,,,12,3,17,13771,1555069545,uzivert,91,Io,,,,1,2,28,6283,1166370091,ashuramaru,76,Outworld Destroyer,,,,0,7,3,9042,372827684,du9aka;(,79,Shadow Demon,,,,1,8,11,4699,339941742,D.M.,88,Nyx Assassin,,,,4,10,4,3177,1030928034,BASTREYKO,2,Axe,,,,6,8,1,6948,189817721,Мразь,56,Clinkz,,,,3,7,5,8086,167
Ancients League,15819,PROFESSIONAL,2023-09-29 00:00:00,2024-03-29 00:00:00,CIS,825481,BEST_OF_THREE,7436639950,2023-11-13 10:31:52,1344,78,8961813,SHAOLIN,9018543,Hustlers,8961813,38,31,1525150785,Xarientoc,97,Magnus,POSITION_2,MID_LANE,CORE,5,2,16,10936,1499558722,Nlainara,27,Shadow Shaman,POSITION_5,SAFE_LANE,HARD_SUPPORT,2,11,19,6498,1499784859,heinz,107,Earth Spirit,POSITION_4,OFF_LANE,LIGHT_SUPPORT,3,7,10,5714,1499780198,JAM,67,Spectre,POSITION_1,SAFE_LANE,CORE,16,3,8,16357,1499724758,Neutron,21,Windranger,POSITION_3,OFF_LANE,CORE,11,8,9,11420,1524712001,Frodo,86,Rubick,POSITION_2,MID_LANE,CORE,5,7,2,8500,1524835014,Dimidrol,28,Slardar,POSITION_3,OFF_LANE,CORE,4,2,6,10873,1525361028,REQSTICK,87,Disruptor,POSITION_5,SAFE_LANE,HARD_SUPPORT,2,10,8,4059,1525276378,wannakms,75,Silencer,POSITION_4,OFF_LANE,LIGHT_SUPPORT,6,12,8,5550,1524633248,Polcamid,85,Undying,POSITION_1,SAFE_LANE,CORE,14,7,3,12595,167
Destiny league,15716,PROFESSIONAL,2023-09-04 22:00:00,2024-01-30 23:00:00,CIS,825476,BEST_OF_THREE,7436622073,2023-11-13 10:19:06,1846,119,8629317,Bright Crusaders,8629005,Flawless Goblins,8629317,37,21,1119908658,TwoFaced,135,Dawnbreaker,POSITION_2,MID_LANE,CORE,5,2,21,18018,1220632105,Norbert,137,Primal Beast,POSITION_4,OFF_LANE,LIGHT_SUPPORT,9,5,19,12591,1083977859,VittoBossG,54,Lifestealer,POSITION_1,SAFE_LANE,CORE,11,5,11,20254,1122407405,Bandana,120,Pangolier,POSITION_3,OFF_LANE,CORE,11,2,21,19955,1216609165,Satoru,58,Enchantress,POSITION_5,SAFE_LANE,HARD_SUPPORT,1,7,3,8239,1227183303,Randing,19,Tiny,POSITION_5,SAFE_LANE,HARD_SUPPORT,1,13,8,8147,1185918470,tinkywinky,48,Luna,POSITION_1,SAFE_LANE,CORE,4,6,2,17292,928499811,Okoni,100,Tusk,POSITION_4,OFF_LANE,LIGHT_SUPPORT,3,9,8,7064,1228355759,Kreen,129,Mars,POSITION_3,OFF_LANE,CORE,7,7,6,11729,1200963940,ZodiAc!,13,Puck,POSITION_2,MID_LANE,CORE,6,4,8,16244,167
ESL One Kuala Lumpur Qualifiers powered by Intel,15909,PROFESSIONAL,2023-11-10 00:00:00,2023-11-21 00:00:00,UNSET,825466,BEST_OF_THREE,7436602319,2023-11-13 10:02:21,2366,309,9247664,Eagle,9254432,Ignite,9247664,40,17,1101855381,ukiyo,46,Templar Assassin,POSITION_1,SAFE_LANE,CORE,16,3,14,35050,137895298,ButterflyEffect,36,Necrophos,POSITION_2,MID_LANE,CORE,11,1,14,28227,1171877280,项羽,97,Magnus,POSITION_3,OFF_LANE,CORE,4,4,22,20665,197849259,mianmian,119,Dark Willow,POSITION_4,OFF_LANE,LIGHT_SUPPORT,5,5,22,12101,153743768,Tz.,83,Treant Protector,POSITION_5,SAFE_LANE,HARD_SUPPORT,4,4,21,10596,250547284,Ulu,138,Muerta,POSITION_1,SAFE_LANE,CORE,5,5,6,21954,199222238,Dust,107,Earth Spirit,POSITION_2,MID_LANE,CORE,3,12,10,14619,99983413,Deth,29,Tidehunter,POSITION_3,OFF_LANE,CORE,2,10,11,13535,193884241,ponlo,86,Rubick,POSITION_4,OFF_LANE,LIGHT_SUPPORT,2,9,13,9540,136421659,QYQX,68,Ancient Apparition,POSITION_5,SAFE_LANE,HARD_SUPPORT,4,4,12,9452,167
Ancients League,15819,PROFESSIONAL,2023-09-29 00:00:00,2024-03-29 00:00:00,CIS,825481,BEST_OF_THREE,7436592170,2023-11-13 09:51:05,1681,48,9018543,Hustlers,8961813,SHAOLIN,8961813,26,34,1525276378,wannakms,40,Venomancer,POSITION_4,OFF_LANE,LIGHT_SUPPORT,8,8,8,11528,1524835014,Dimidrol,102,Abaddon,POSITION_3,OFF_LANE,CORE,7,3,1,16591,1525361028,REQSTICK,27,Shadow Shaman,POSITION_5,SAFE_LANE,HARD_SUPPORT,1,11,10,6254,1524633248,Polcamid,8,Juggernaut,POSITION_1,SAFE_LANE,CORE,2,5,1,15507,1524712001,Frodo,100,Tusk,POSITION_2,MID_LANE,CORE,8,7,4,13987,1525150785,Xarientoc,21,Windranger,POSITION_2,MID_LANE,CORE,7,6,12,14989,1499724758,Neutron,84,Ogre Magi,POSITION_3,OFF_LANE,CORE,6,5,7,17801,1499784859,heinz,90,Keeper of the Light,POSITION_4,OFF_LANE,LIGHT_SUPPORT,5,4,10,9984,1499558722,Nlainara,64,Jakiro,POSITION_5,SAFE_LANE,HARD_SUPPORT,2,9,18,8172,1499780198,JAM,22,Zeus,POSITION_1,SAFE_LANE,CORE,14,3,8,18584,167
ESportsBattle | DOTA2 AUC7,15680,PROFESSIONAL,2023-10-18 21:00:00,2023-12-18 22:00:00,CIS,825477,BEST_OF_THREE,7436577193,2023-11-13 09:38:03,2149,88,8970358,mind takers,9109307,Ryoki Tenkai ,9109307,19,21,349569834,paw,81,Chaos Knight,POSITION_3,OFF_LANE,CORE,4,6,4,16382,171397128,Infinity,48,Luna,POSITION_1,SAFE_LANE,CORE,1,1,3,22466,244516823,Lyralei,119,Dark Willow,POSITION_4,OFF_LANE,LIGHT_SUPPORT,5,2,11,12262,173906452,Atlas,111,Oracle,POSITION_5,SAFE_LANE,HARD_SUPPORT,2,6,11,5681,170800331,yapthet,107,Earth Spirit,POSITION_2,MID_LANE,CORE,7,6,4,18387,3165951,why/did.youー,94,Medusa,POSITION_1,SAFE_LANE,CORE,7,0,8,29611,320423494,Decade,45,Pugna,POSITION_4,OFF_LANE,LIGHT_SUPPORT,2,11,8,10873,1041038431,Mak.,36,Necrophos,POSITION_2,MID_LANE,CORE,6,2,7,21565,109143547,пюре,64,Jakiro,POSITION_5,SAFE_LANE,HARD_SUPPORT,4,4,11,12029,921009406,wryi,96,Centaur Warrunner,POSITION_3,OFF_LANE,CORE,2,2,14,16027,167
Destiny league,15716,PROFESSIONAL,2023-09-04 22:00:00,2024-01-30 23:00:00,CIS,825476,BEST_OF_THREE,7436567956,2023-11-13 09:30:04,1993,243,8629005,Flawless Goblins,8629317,Bright Crusaders,8629005,36,23,928499811,Okoni,71,Spirit Breaker,POSITION_4,OFF_LANE,LIGHT_SUPPORT,1,3,26,13480,1228355759,Kreen,104,Legion Commander,POSITION_3,OFF_LANE,CORE,8,5,18,16757,1227183303,Randing,50,Dazzle,POSITION_5,SAFE_LANE,HARD_SUPPORT,3,10,15,9129,1185918470,tinkywinky,70,Ursa,POSITION_1,SAFE_LANE,CORE,14,1,9,32446,1200963940,ZodiAc!,90,Keeper of the Light,POSITION_2,MID_LANE,CORE,10,4,14,22922,1220632105,Norbert,19,Tiny,POSITION_4,OFF_LANE,LIGHT_SUPPORT,1,7,16,6363,1083977859,VittoBossG,10,Morphling,POSITION_1,SAFE_LANE,CORE,4,8,8,13615,1122407405,Bandana,81,Chaos Knight,POSITION_3,OFF_LANE,CORE,5,7,6,16218,1119908658,TwoFaced,36,Necrophos,POSITION_2,MID_LANE,CORE,12,6,4,17821,1216609165,Satoru,119,Dark Willow,POSITION_5,SAFE_LANE,HARD_SUPPORT,1,8,7,4917,167
ESL One Kuala Lumpur Qualifiers powered by Intel,15909,PROFESSIONAL,2023-11-10 00:00:00,2023-11-21 00:00:00,UNSET,825467,BEST_OF_THREE,7436567923,2023-11-13 09:29:16,2667,191,9247630,Go along,5,INVICTUS GAMING,9247630,41,26,1001005037,qaq. ,46,Templar Assassin,POSITION_1,SAFE_LANE,CORE,11,4,17,40390,1018920137,:123,23,Kunkka,POSITION_2,MID_LANE,CORE,8,4,26,26468,470392491,Meliodas,96,Centaur Warrunner,POSITION_3,OFF_LANE,CORE,7,6,20,28428,391423488,TK,121,Grimstroke,POSITION_4,OFF_LANE,LIGHT_SUPPORT,7,2,30,14921,215671947,起风了,51,Clockwerk,POSITION_5,SAFE_LANE,HARD_SUPPORT,7,10,25,16616,148215639,Monet,54,Lifestealer,POSITION_1,SAFE_LANE,CORE,4,7,11,21784,173978074,NothingToSay,137,Primal Beast,POSITION_2,MID_LANE,CORE,7,10,10,19297,138857296,JT-,104,Legion Commander,POSITION_3,OFF_LANE,CORE,5,8,13,16033,207829314,Borax,123,Hoodwink,POSITION_4,OFF_LANE,LIGHT_SUPPORT,3,7,20,11169,94296097,xNova,53,Nature's Prophet,POSITION_5,SAFE_LANE,HARD_SUPPORT,7,9,15,11254,167
ESL One Kuala Lumpur Qualifiers powered by Intel,15909,PROFESSIONAL,2023-11-10 00:00:00,2023-11-21 00:00:00,UNSET,825472,BEST_OF_THREE,7436563524,2023-11-13 09:25:15,1203,196,9248355,Wizard King,9005019,IHC,9005019,9,37,240923554,pos12345,100,Tusk,POSITION_4,OFF_LANE,LIGHT_SUPPORT,1,7,4,3526,1372463120,ill purchase midas,137,Primal Beast,POSITION_3,OFF_LANE,CORE,0,9,1,4643,998950885,NEW PLAYER,67,Spectre,POSITION_1,SAFE_LANE,CORE,1,7,3,4685,412232719,s,39,Queen of Pain,POSITION_2,MID_LANE,CORE,7,8,0,7125,138075919,Fire,58,Enchantress,POSITION_5,SAFE_LANE,HARD_SUPPORT,0,8,4,2857,1517197265,423,63,Weaver,POSITION_1,SAFE_LANE,CORE,10,1,10,12724,274078636,Ace12,121,Grimstroke,POSITION_4,OFF_LANE,LIGHT_SUPPORT,4,2,19,6170,196400041,Se,51,Clockwerk,POSITION_5,SAFE_LANE,HARD_SUPPORT,4,2,26,4906,377594124,элэвэн,23,Kunkka,POSITION_3,OFF_LANE,CORE,6,1,8,14489,392169957,Sanctity-,13,Puck,POSITION_2,MID_LANE,CORE,15,3,13,12051,167
ESL One Kuala Lumpur Qualifiers powered by Intel,15909,PROFESSIONAL,2023-11-10 00:00:00,2023-11-21 00:00:00,UNSET,825465,BEST_OF_THREE,7436550419,2023-11-13 09:16:38,1925,-27,9080405,Team Zero,9247646,Team trust,9080405,28,8,140613225,Cty,63,Weaver,POSITION_1,SAFE_LANE,CORE,8,0,4,24292,179313961,7e,50,Dazzle,POSITION_2,MID_LANE,CORE,8,0,8,23822,139031324,BEYOND,78,Brewmaster,POSITION_3,OFF_LANE,CORE,8,1,13,21912,102644565,iceice,138,Muerta,POSITION_4,OFF_LANE,LIGHT_SUPPORT,1,4,11,12374,249835593,zzq,83,Treant Protector,POSITION_5,SAFE_LANE,HARD_SUPPORT,3,3,17,9159,241107899,☁️RAINCLOUD,41,Faceless Void,POSITION_1,SAFE_LANE,CORE,3,1,0,18405,399885807,blessing,25,Lina,POSITION_2,MID_LANE,CORE,1,4,3,12839,152095304,3,71,Spirit Breaker,POSITION_3,OFF_LANE,CORE,0,9,2,13416,136385031,に冷の少年でる雨雨,45,Pugna,POSITION_4,OFF_LANE,LIGHT_SUPPORT,3,9,4,7616,324045303,出省,66,Chen,POSITION_5,SAFE_LANE,HARD_SUPPORT,1,5,6,10464,167
